104_merged_unfilt.bam	70.82
114_merged_unfilt.bam	67.32
131_merged_unfilt.bam	68.19
135_merged_unfilt.bam	66.80
158_merged_unfilt.bam	72.96
17_merged_unfilt.bam	70.67
182_merged_unfilt.bam	70.26
187_merged_unfilt.bam	65.27
203_merged_unfilt.bam	68.72
240_merged_unfilt.bam	66.90
257_merged_unfilt.bam	69.47
269_merged_unfilt.bam	69.31
274_merged_unfilt.bam	68.53
279_merged_unfilt.bam	64.46
316_merged_unfilt.bam	66.07
345_merged_unfilt.bam	68.77
349_merged_unfilt.bam	68.17
356_merged_unfilt.bam	68.52
373_merged_unfilt.bam	68.16
412_merged_unfilt.bam	69.65
42_merged_unfilt.bam	68.48
468_merged_unfilt.bam	69.13
487_merged_unfilt.bam	68.53
520_merged_unfilt.bam	69.02
588_merged_unfilt.bam	67.71
717_merged_unfilt.bam	68.29
721_merged_unfilt.bam	70.02
731_merged_unfilt.bam	69.58
749_merged_unfilt.bam	68.69
759_merged_unfilt.bam	69.73
77_merged_unfilt.bam	68.00
832_merged_unfilt.bam	69.41
849_merged_unfilt.bam	70.55
859_merged_unfilt.bam	66.60
877_merged_unfilt.bam	68.54
879_merged_unfilt.bam	69.17
88_merged_unfilt.bam	69.56
