104_1 9384305 100
104_2 9654476 100
104_3 9882560 100
104_4 9744400 100
114_1 8815705 100
114_2 8881769 100
114_3 9246215 100
114_4_C5H1BACXX 8707451 100
131_1_C5H1BACXX 9579954 100
131_2 9341295 100
131_3 9472065 100
131_4 9372400 100
135_1 9663780 100
135_2_C5H1BACXX 10320287 100
135_3 8950507 100
135_4 8864337 100
158_1 13835834 100
158_2 9365640 100
158_3_C5H1BACXX 9236375 100
158_4 8312035 100
17_1 9671969 100
17_2_C5H1BACXX 9238822 100
17_3 9584917 100
17_4 9226207 100
182_1 9395532 100
182_2 9396561 100
182_3 9323935 100
182_4_C5H1BACXX 9572941 100
187_1 9118412 100
187_2 8973624 100
187_3 9070054 100
187_4_C5H1BACXX 8523403 100
203_1 9951493 100
203_2 9199378 100
203_3 9544860 100
203_4 9030067 100
240_1_C5H1BACXX 9328673 100
240_2 8983490 100
240_3 9028218 100
240_4 9277266 100
257_1 9762795 100
257_2_C5H1BACXX 9364113 100
257_3 9806834 100
257_4 9878371 100
269_1 8868549 100
269_2 8471573 100
269_3 8894472 100
269_4_C5H1BACXX 8582447 100
274_2 9048056 100
274_3_C5H1BACXX 8576768 100
274_4 8766883 100
279_1 9575225 100
279_2 9329758 100
279_3_C5H1BACXX 8742291 100
279_4 9368208 100
316_1 8593692 100
316_2 9193904 100
316_4 8812040 100
345_1_1 8324269 100
345_2_1 8316666 100
345_3_1_C1802ACXX 7733170 100
345_4_1 7835592 100
349_1_1 7821608 100
349_2_1 7890668 100
349_3_1 6716150 100
349_4_1_C1802ACXX 7266295 100
356_1_1_C1802ACXX 7278566 100
356_2_1 6550803 100
356_3_1 7096262 100
356_4_1 6934399 100
373_1_1 7229994 100
373_2_1_C1802ACXX 7716565 100
373_3_1 8032336 100
373_4_1 7432092 100
412_1 8961693 100
412_2 9501044 100
412_3_C5H1BACXX 8991248 100
412_4 8262744 100
42_1 9011153 100
42_2 9076639 100
42_3_C5H1BACXX 8920631 100
42_4 9182302 100
468_1 8730783 100
468_2 8955226 100
468_3 8899157 100
468_4 9172788 100
487_1 8523947 100
487_2 9057683 100
487_3 8940838 100
487_4_C5H1BACXX 9188841 100
520_1 9768445 100
520_2 9642623 100
520_3 9404492 100
520_4_C5H1BACXX 8253773 100
588_1 10044942 100
588_2_C5H1BACXX 10024669 100
588_3 9528421 100
588_4 10177179 100
717_1_C5H1BACXX 9335512 100
717_2 8950277 100
717_3 8795798 100
717_4 9016656 100
721_1 9514496 100
721_2 9377309 100
721_3 9205580 100
721_4_C5H1BACXX 9597704 100
731_1_C5H1BACXX 8664172 100
731_2 8842846 100
731_3 8969662 100
731_4 8548839 100
749_1_1 6206346 100
749_2_1 6544654 100
749_3_1 6734011 100
749_4_1_C1802ACXX 6264434 100
759_1 10046861 100
759_2_C5H1BACXX 10053901 100
759_3 9684730 100
759_4 9529681 100
77_1 9465302 100
77_2 9596334 100
77_3 9078897 100
77_4_C5H1BACXX 9641033 100
832_2 9112381 100
832_3 8056301 100
832_4 9074361 100
849_1 9225193 100
849_2 9040581 100
849_3_C5H1BACXX 8894537 100
849_4 8999497 100
859_1_1 7247455 100
859_2_1 7019285 100
859_3_1 7911178 100
859_4_1 7488431 100
877_1 9217370 100
877_2 9629146 100
877_3 9341201 100
877_4_C5H1BACXX 9530344 100
879_1 9409632 100
879_2 9331224 100
879_3 9267106 100
879_4 8890755 100
88_1 9602703 100
88_2 9524021 100
88_3 9193062 100
88_4_C5H1BACXX 8875633 100
